SSN,Disease_Type,Age_Group,Gender,State,Race,Smoking,Alcohol_Consumption,Education_Level,Insurance_Type,Exercise_Frequency,Diet_Quality,Sleep_Hours,Stress_Level,Occupation,Family_History,BMI_Category,Income_Level
286-90-4773,Breast Cancer,46-60,Female,Texas,Caucasian,Former,Occasional,Less than high school,Medicare,1-2 times/week,Excellent,Less than 6,High,Manual Labor,Yes,Underweight,"$75,000-$100,000"
539-15-1572,Lung Cancer,61+,Female,California,Native American,Never,Heavy,Bachelor's degree,Uninsured,Never,Fair,Less than 6,Low,Retired,No,Obese,"$100,000+"
296-56-1646,Chronic Respiratory Disease,31-45,Other,Georgia,Native American,Current,Occasional,Graduate degree,Medicaid,3-4 times/week,Fair,Less than 6,Low,Retired,No,Normal,"$75,000-$100,000"
953-22-2615,Lung Cancer,31-45,Male,Washington,Caucasian,Former,Regular,Graduate degree,Medicare,3-4 times/week,Excellent,Less than 6,High,Manual Labor,No,Overweight,"$100,000+"
378-34-3958,Obesity,18-30,Other,Michigan,Asian,Never,Regular,High school graduate,Medicare,5+ times/week,Fair,6-7,High,Education,No,Normal,"$30,000-$50,000"
995-32-6946,Lung Cancer,31-45,Male,Pennsylvania,Black,Never,Occasional,Some college,Medicare,5+ times/week,Good,8+,Medium,Healthcare,No,Obese,"$30,000-$50,000"
719-61-5672,Breast Cancer,46-60,Female,Florida,Black,Current,Never,Bachelor's degree,Medicare,3-4 times/week,Excellent,7-8,High,Unemployed,Yes,Normal,"$75,000-$100,000"
540-43-7458,Liver Disease,46-60,Male,Washington,Hispanic,Never,Occasional,Some college,Uninsured,Never,Good,8+,Low,Unemployed,Yes,Normal,"$50,000-$75,000"
721-47-2988,Chronic Respiratory Disease,61+,Other,Massachusetts,Black,Former,Occasional,Less than high school,Private,5+ times/week,Fair,Less than 6,High,Retired,No,Underweight,"$30,000-$50,000"
359-10-3018,Chronic Respiratory Disease,18-30,Male,Virginia,Caucasian,Former,Occasional,Some college,Medicare,5+ times/week,Good,7-8,Medium,Manual Labor,No,Underweight,"$50,000-$75,000"
315-56-7677,Hypertension,61+,Male,Pennsylvania,Other,Never,Heavy,Less than high school,Private,1-2 times/week,Poor,8+,Low,Retired,No,Normal,"$30,000-$50,000"
849-39-4037,Lung Cancer,61+,Female,Colorado,Other,Current,Regular,Some college,Uninsured,5+ times/week,Poor,7-8,High,Healthcare,Yes,Underweight,"Less than $30,000"
974-80-6136,Fibromyalgia,18-30,Female,North Carolina,Hispanic,Current,Never,Bachelor's degree,Uninsured,1-2 times/week,Excellent,7-8,High,Education,No,Obese,"$30,000-$50,000"
182-45-4349,Chronic Kidney Disease,46-60,Other,Arizona,Caucasian,Never,Heavy,High school graduate,Medicaid,1-2 times/week,Poor,6-7,High,Office/Desk Job,Yes,Underweight,"$50,000-$75,000"
275-51-4047,Heart Disease,61+,Male,Washington,Other,Current,Regular,Some college,Medicare,3-4 times/week,Excellent,6-7,Medium,Retired,Yes,Normal,"$100,000+"
165-18-1667,Hypertension,61+,Female,Massachusetts,Hispanic,Never,Regular,High school graduate,Medicare,1-2 times/week,Excellent,6-7,High,Healthcare,No,Underweight,"$75,000-$100,000"
716-93-2550,Heart Disease,31-45,Other,Arizona,Asian,Former,Regular,Less than high school,Private,1-2 times/week,Poor,Less than 6,High,Healthcare,Yes,Obese,"$50,000-$75,000"
151-30-2460,Depression,31-45,Other,Massachusetts,Black,Former,Heavy,Graduate degree,Medicaid,5+ times/week,Fair,Less than 6,High,Service Industry,Yes,Underweight,"$100,000+"
469-49-1542,Fibromyalgia,46-60,Female,Georgia,Other,Current,Regular,High school graduate,Uninsured,1-2 times/week,Good,8+,Medium,Service Industry,No,Normal,"$100,000+"
696-37-9900,Obesity,46-60,Male,New York,Asian,Former,Heavy,Some college,Private,1-2 times/week,Good,6-7,Low,Healthcare,No,Obese,"$30,000-$50,000"
146-64-6929,Hypertension,31-45,Female,Texas,Other,Never,Heavy,Bachelor's degree,Private,3-4 times/week,Excellent,Less than 6,High,Service Industry,Yes,Overweight,"$75,000-$100,000"
206-97-5180,Chronic Kidney Disease,46-60,Other,North Carolina,Asian,Former,Never,Some college,Uninsured,5+ times/week,Fair,6-7,Medium,Manual Labor,No,Normal,"$50,000-$75,000"
835-63-9075,Chronic Respiratory Disease,61+,Male,Ohio,Native American,Current,Regular,High school graduate,Private,1-2 times/week,Good,6-7,Low,Retired,No,Normal,"$30,000-$50,000"
879-57-4714,Type 2 Diabetes,31-45,Female,Arizona,Asian,Never,Regular,Less than high school,Private,3-4 times/week,Excellent,8+,Medium,Unemployed,No,Overweight,"$50,000-$75,000"
295-72-8331,Obesity,61+,Female,Illinois,Asian,Current,Occasional,Less than high school,Private,5+ times/week,Good,8+,Low,Retired,No,Underweight,"$100,000+"
430-60-1994,Heart Disease,46-60,Female,Georgia,Black,Never,Heavy,Some college,Private,Never,Excellent,8+,Medium,Education,Yes,Underweight,"$50,000-$75,000"
255-36-4424,Multiple Sclerosis,18-30,Female,Washington,Other,Never,Occasional,High school graduate,Uninsured,1-2 times/week,Good,7-8,Low,Service Industry,No,Normal,"$50,000-$75,000"
153-89-3940,Hypertension,46-60,Male,Colorado,Other,Never,Heavy,Graduate degree,Uninsured,Never,Poor,6-7,Low,Retired,Yes,Obese,"$75,000-$100,000"
977-32-2086,Hypertension,61+,Female,Arizona,Caucasian,Never,Occasional,Some college,Uninsured,1-2 times/week,Poor,Less than 6,Medium,Retired,No,Overweight,"$100,000+"
849-19-1415,Chronic Kidney Disease,46-60,Other,Florida,Hispanic,Current,Heavy,Bachelor's degree,Medicaid,5+ times/week,Excellent,8+,Medium,Healthcare,Yes,Normal,"$100,000+"
104-14-4378,Hypertension,31-45,Other,California,Native American,Former,Regular,Some college,Medicaid,Never,Fair,6-7,High,Healthcare,No,Obese,"$75,000-$100,000"
635-52-7389,Breast Cancer,31-45,Female,Georgia,Native American,Never,Heavy,High school graduate,Private,1-2 times/week,Excellent,7-8,Low,Retired,Yes,Overweight,"Less than $30,000"
202-35-5487,Lung Cancer,61+,Male,Arizona,Other,Never,Regular,Less than high school,Private,1-2 times/week,Good,Less than 6,Medium,Retired,No,Normal,"$100,000+"
844-16-9116,Fibromyalgia,31-45,Male,North Carolina,Caucasian,Former,Occasional,Bachelor's degree,Private,5+ times/week,Good,Less than 6,Medium,Healthcare,Yes,Underweight,"$50,000-$75,000"
194-64-4904,Arthritis,46-60,Other,Michigan,Caucasian,Never,Heavy,Graduate degree,Uninsured,5+ times/week,Excellent,6-7,Medium,Service Industry,Yes,Overweight,"$100,000+"
768-84-4319,Chronic Respiratory Disease,18-30,Male,Massachusetts,Black,Current,Regular,Some college,Uninsured,3-4 times/week,Poor,Less than 6,High,Education,Yes,Underweight,"$100,000+"
451-48-8727,Sleep Apnea,18-30,Female,California,Asian,Current,Occasional,Graduate degree,Private,3-4 times/week,Excellent,Less than 6,Medium,Office/Desk Job,No,Obese,"$75,000-$100,000"
615-81-5376,Obesity,31-45,Female,Illinois,Asian,Current,Heavy,Graduate degree,Medicare,5+ times/week,Fair,6-7,High,Healthcare,Yes,Normal,"$50,000-$75,000"
533-35-7943,Arthritis,61+,Male,Washington,Other,Former,Never,Less than high school,Uninsured,3-4 times/week,Good,6-7,High,Office/Desk Job,Yes,Overweight,"$100,000+"
808-13-6844,Sleep Apnea,31-45,Female,California,Black,Never,Regular,High school graduate,Medicaid,5+ times/week,Fair,Less than 6,High,Retired,No,Normal,"Less than $30,000"
452-14-3912,Depression,46-60,Female,Texas,Native American,Former,Never,Some college,Private,1-2 times/week,Excellent,6-7,Medium,Education,No,Obese,"$100,000+"
945-51-8677,Heart Disease,46-60,Other,Virginia,Hispanic,Former,Never,Bachelor's degree,Medicare,Never,Poor,6-7,High,Office/Desk Job,No,Obese,"$50,000-$75,000"
634-70-5585,Depression,61+,Male,Florida,Native American,Never,Heavy,Less than high school,Private,1-2 times/week,Good,7-8,Medium,Retired,No,Normal,"$100,000+"
823-28-7795,Heart Disease,18-30,Other,Washington,Native American,Current,Never,Less than high school,Private,Never,Poor,7-8,Medium,Retired,Yes,Normal,"$75,000-$100,000"
172-51-8091,Heart Disease,61+,Other,Illinois,Other,Never,Never,Less than high school,Medicare,1-2 times/week,Fair,Less than 6,High,Education,Yes,Obese,"$75,000-$100,000"
665-65-9982,Chronic Kidney Disease,46-60,Other,Colorado,Native American,Current,Heavy,High school graduate,Medicare,1-2 times/week,Fair,6-7,Low,Retired,Yes,Obese,"$100,000+"
948-17-2192,Heart Disease,61+,Female,New York,Hispanic,Never,Regular,Some college,Uninsured,5+ times/week,Fair,6-7,High,Retired,No,Underweight,"Less than $30,000"
304-14-4173,Heart Disease,61+,Other,Arizona,Hispanic,Never,Regular,Bachelor's degree,Uninsured,1-2 times/week,Good,Less than 6,Low,Retired,No,Underweight,"$100,000+"
140-25-9488,Fibromyalgia,18-30,Male,New York,Black,Current,Occasional,Some college,Medicaid,3-4 times/week,Fair,Less than 6,Medium,Education,No,Obese,"$100,000+"
708-34-1664,Heart Disease,61+,Other,Illinois,Hispanic,Former,Never,Bachelor's degree,Private,3-4 times/week,Poor,6-7,Low,Retired,Yes,Obese,"$75,000-$100,000"
201-10-4493,Liver Disease,46-60,Female,Colorado,Hispanic,Never,Occasional,Graduate degree,Medicaid,3-4 times/week,Poor,6-7,High,Healthcare,No,Underweight,"Less than $30,000"
868-95-7331,Chronic Respiratory Disease,46-60,Other,North Carolina,Black,Never,Heavy,Less than high school,Uninsured,1-2 times/week,Poor,8+,Low,Education,No,Obese,"$50,000-$75,000"
457-59-6353,Fibromyalgia,46-60,Other,Georgia,Other,Never,Never,Bachelor's degree,Medicare,1-2 times/week,Poor,7-8,Medium,Unemployed,Yes,Underweight,"$50,000-$75,000"
332-43-8804,Breast Cancer,61+,Other,Virginia,Asian,Former,Never,High school graduate,Uninsured,Never,Poor,8+,Medium,Retired,Yes,Overweight,"Less than $30,000"
763-11-4335,Heart Disease,31-45,Male,Florida,Caucasian,Never,Regular,Graduate degree,Medicaid,Never,Excellent,6-7,Low,Service Industry,No,Underweight,"$75,000-$100,000"
801-64-6963,Hypertension,61+,Other,Washington,Hispanic,Former,Heavy,Less than high school,Private,Never,Good,6-7,Medium,Retired,No,Overweight,"$50,000-$75,000"
557-45-8803,Sleep Apnea,18-30,Male,Florida,Other,Never,Occasional,Graduate degree,Private,3-4 times/week,Good,Less than 6,Low,Unemployed,Yes,Overweight,"$100,000+"
295-51-1843,Type 2 Diabetes,46-60,Female,Michigan,Hispanic,Former,Never,Bachelor's degree,Uninsured,1-2 times/week,Fair,7-8,Low,Manual Labor,No,Overweight,"$100,000+"
545-23-1296,Colorectal Cancer,18-30,Female,Washington,Other,Former,Occasional,High school graduate,Uninsured,5+ times/week,Excellent,Less than 6,Medium,Service Industry,No,Underweight,"$50,000-$75,000"
320-68-8149,Depression,18-30,Other,Washington,Caucasian,Former,Heavy,Some college,Medicare,1-2 times/week,Excellent,6-7,Medium,Office/Desk Job,No,Normal,"$75,000-$100,000"
850-32-2896,Multiple Sclerosis,46-60,Female,Florida,Hispanic,Current,Occasional,High school graduate,Medicaid,1-2 times/week,Fair,7-8,Low,Office/Desk Job,Yes,Obese,"$30,000-$50,000"
806-67-4113,Chronic Kidney Disease,46-60,Male,New York,Other,Former,Never,Less than high school,Private,3-4 times/week,Excellent,7-8,High,Service Industry,No,Underweight,"Less than $30,000"
691-81-9049,Lung Cancer,31-45,Female,Ohio,Asian,Never,Heavy,Some college,Medicaid,Never,Good,7-8,Medium,Education,No,Underweight,"$75,000-$100,000"
482-52-9458,Arthritis,61+,Male,Ohio,Hispanic,Never,Regular,Some college,Private,5+ times/week,Excellent,Less than 6,Low,Retired,No,Underweight,"Less than $30,000"
350-78-5834,Lung Cancer,46-60,Male,Illinois,Asian,Current,Regular,Less than high school,Medicaid,Never,Fair,7-8,Low,Manual Labor,No,Normal,"$100,000+"
903-66-2452,Liver Disease,18-30,Female,Michigan,Hispanic,Never,Regular,Bachelor's degree,Uninsured,Never,Good,Less than 6,High,Healthcare,No,Underweight,"$100,000+"
133-78-1467,Breast Cancer,18-30,Other,Arizona,Black,Never,Heavy,Less than high school,Medicaid,Never,Fair,8+,Low,Retired,No,Overweight,"$100,000+"
995-24-7926,Liver Disease,31-45,Male,Michigan,Black,Former,Regular,Bachelor's degree,Uninsured,Never,Good,Less than 6,High,Office/Desk Job,Yes,Overweight,"$75,000-$100,000"
276-78-7889,Lung Cancer,31-45,Female,Texas,Other,Current,Heavy,Some college,Medicare,1-2 times/week,Fair,7-8,Medium,Retired,Yes,Overweight,"$30,000-$50,000"
437-18-7465,Heart Disease,61+,Other,North Carolina,Caucasian,Former,Never,Graduate degree,Medicaid,3-4 times/week,Fair,8+,High,Retired,Yes,Overweight,"$100,000+"
884-43-9057,Sleep Apnea,18-30,Other,Ohio,Black,Current,Occasional,High school graduate,Uninsured,5+ times/week,Poor,6-7,High,Retired,No,Normal,"$75,000-$100,000"
608-65-9230,Depression,31-45,Other,New York,Black,Former,Never,Graduate degree,Private,Never,Poor,7-8,Medium,Retired,No,Overweight,"$100,000+"
881-77-7117,Colorectal Cancer,46-60,Female,California,Caucasian,Former,Heavy,High school graduate,Private,3-4 times/week,Good,Less than 6,Medium,Retired,No,Normal,"$75,000-$100,000"
926-26-4082,Heart Disease,61+,Other,Illinois,Asian,Former,Heavy,Some college,Uninsured,1-2 times/week,Good,Less than 6,High,Retired,No,Obese,"Less than $30,000"
280-97-7332,Heart Disease,31-45,Other,Illinois,Caucasian,Never,Heavy,Bachelor's degree,Uninsured,1-2 times/week,Good,8+,Medium,Unemployed,No,Obese,"$100,000+"
645-29-6323,Type 2 Diabetes,61+,Other,Texas,Asian,Current,Regular,High school graduate,Medicare,5+ times/week,Fair,Less than 6,High,Retired,No,Underweight,"$100,000+"
759-44-4124,Type 2 Diabetes,18-30,Female,Massachusetts,Asian,Former,Never,Bachelor's degree,Uninsured,3-4 times/week,Excellent,8+,High,Education,Yes,Underweight,"$75,000-$100,000"
977-54-2497,Type 2 Diabetes,61+,Other,Illinois,Asian,Former,Never,High school graduate,Uninsured,1-2 times/week,Good,Less than 6,Low,Education,Yes,Overweight,"$50,000-$75,000"
799-42-4041,Arthritis,31-45,Female,Arizona,Other,Former,Occasional,High school graduate,Private,1-2 times/week,Poor,Less than 6,Low,Service Industry,Yes,Underweight,"Less than $30,000"
245-49-9350,Heart Disease,61+,Other,Arizona,Native American,Former,Heavy,Some college,Medicare,1-2 times/week,Fair,Less than 6,Medium,Retired,Yes,Overweight,"$30,000-$50,000"
301-47-5457,Lung Cancer,46-60,Female,Colorado,Asian,Former,Regular,Some college,Medicare,1-2 times/week,Excellent,6-7,High,Unemployed,Yes,Normal,"Less than $30,000"
245-34-1564,Lung Cancer,46-60,Female,Ohio,Native American,Current,Regular,Some college,Medicare,3-4 times/week,Excellent,Less than 6,High,Education,Yes,Overweight,"$100,000+"
935-18-6281,Breast Cancer,46-60,Other,Massachusetts,Hispanic,Never,Heavy,Bachelor's degree,Medicare,3-4 times/week,Poor,6-7,Low,Unemployed,No,Obese,"$100,000+"
372-87-3568,Type 2 Diabetes,61+,Female,Georgia,Other,Never,Occasional,Bachelor's degree,Medicare,1-2 times/week,Excellent,7-8,Medium,Retired,Yes,Obese,"$75,000-$100,000"
544-74-7149,Breast Cancer,31-45,Male,Texas,Native American,Former,Occasional,High school graduate,Medicare,Never,Fair,Less than 6,High,Service Industry,No,Obese,"$75,000-$100,000"
361-26-6211,Arthritis,46-60,Female,North Carolina,Native American,Current,Heavy,Less than high school,Uninsured,1-2 times/week,Fair,Less than 6,High,Unemployed,Yes,Normal,"Less than $30,000"
100-16-3561,Arthritis,61+,Other,Washington,Other,Former,Regular,High school graduate,Medicare,Never,Excellent,Less than 6,Low,Retired,No,Overweight,"$50,000-$75,000"
362-10-9087,Heart Disease,18-30,Other,Washington,Asian,Former,Never,Some college,Private,Never,Excellent,8+,High,Healthcare,Yes,Obese,"$100,000+"
480-92-2446,Fibromyalgia,18-30,Other,New York,Black,Never,Never,Some college,Uninsured,1-2 times/week,Excellent,Less than 6,Low,Service Industry,Yes,Normal,"$30,000-$50,000"
506-48-8150,Arthritis,31-45,Male,New York,Caucasian,Never,Never,Graduate degree,Private,Never,Fair,Less than 6,High,Unemployed,Yes,Normal,"$75,000-$100,000"
242-45-5632,Type 2 Diabetes,31-45,Other,Virginia,Asian,Former,Heavy,High school graduate,Medicaid,3-4 times/week,Poor,7-8,Low,Service Industry,Yes,Normal,"Less than $30,000"
807-18-8632,Heart Disease,31-45,Female,New York,Asian,Former,Occasional,Some college,Medicare,5+ times/week,Good,8+,High,Education,No,Normal,"$50,000-$75,000"
812-35-9452,Lung Cancer,46-60,Female,Ohio,Asian,Current,Never,Less than high school,Medicaid,Never,Fair,Less than 6,Medium,Education,No,Obese,"$75,000-$100,000"
385-11-5791,Lung Cancer,46-60,Other,Florida,Caucasian,Current,Occasional,Less than high school,Private,3-4 times/week,Poor,7-8,Medium,Office/Desk Job,Yes,Underweight,"Less than $30,000"
335-68-1125,Lung Cancer,31-45,Female,Pennsylvania,Asian,Former,Occasional,Less than high school,Medicaid,Never,Good,6-7,Medium,Unemployed,No,Overweight,"Less than $30,000"
166-83-9730,Obesity,61+,Other,Georgia,Black,Never,Never,Bachelor's degree,Medicare,1-2 times/week,Poor,7-8,Low,Retired,Yes,Underweight,"$75,000-$100,000"
630-48-9421,Heart Disease,61+,Female,Pennsylvania,Hispanic,Never,Never,Some college,Private,5+ times/week,Fair,Less than 6,High,Retired,No,Normal,"Less than $30,000"
